parent stop id;nr of child stop facilities
771296;1
771297;1
771302;1
771304;1
771305;1
771306;1
771309;1
771310;1
771313;1
771319;1
771320;1
771322;1
771323;1
771324;1
771326;1
771327;1
771330;1
771334;1
771335;1
771338;1
771340;1
771341;1
771344;1
771347;1
771348;1
771356;1
771357;1
771361;1
771363;1
771365;1
771370;1
771371;1
771373;1
771374;1
771375;1
771376;1
771377;1
771378;1
771379;1
771380;1
771383;1
771384;1
771385;1
771386;1
771388;1
771389;1
771393;1
771397;1
771400;1
771406;1
771408;1
771410;1
783957;1
803757;1
807738;1
807739;1
771298;2
771299;2
771300;2
771301;2
771303;2
771311;2
771312;2
771314;2
771315;2
771321;2
771325;2
771328;2
771329;2
771331;2
771332;2
771333;2
771336;2
771337;2
771342;2
771343;2
771345;2
771346;2
771349;2
771350;2
771358;2
771360;2
771362;2
771366;2
771367;2
771368;2
771369;2
771372;2
771381;2
771382;2
771387;2
771391;2
771392;2
771396;2
771399;2
771401;2
771398;3
771364;4
